Child,Parent1,Parent2
Lamball,Chikipi,Herbil
Lamball,Chikipi,Mau Cryst
Lamball,Chikipi,Lifmunk
Lamball,Teafant,Cremis
Lamball,Teafant,Vixy
Lamball,Teafant,Herbil
Lamball,Teafant,Mau Cryst
Lamball,Mau,Cattiva
Lamball,Mau,Cattiva
Lamball,Mau,Cremis
Lamball,Mau,Vixy
Lamball,Lamball,Lamball
Lamball,Lamball,Lamball
Lamball,Lamball,Cattiva
Lamball,Lamball,Cattiva
Lamball,Cattiva,Lamball
Lamball,Cattiva,Lamball
Lamball,Lamball,Cattiva
Cattiva,Chikipi,Hangyu Cryst
Cattiva,Chikipi,Hangyu
Cattiva,Teafant,Lifmunk
Cattiva,Mau,Herbil
Cattiva,Mau,Mau Cryst
Cattiva,Lamball,Cremis
Cattiva,Lamball,Vixy
Cattiva,Lamball,Herbil
Cattiva,Cremis,Lamball
Cattiva,Vixy,Lamball
Cattiva,Herbil,Lamball
Cattiva,Cattiva,Cattiva
Cattiva,Cattiva,Cattiva
Cattiva,Cattiva,Cremis
Cattiva,Cremis,Cattiva
Chikipi,Chikipi,Chikipi
Lifmunk,Chikipi,Jolthog
Lifmunk,Chikipi,Jolthog Cryst
Lifmunk,Chikipi,Pengullet
Lifmunk,Teafant,Depresso
Lifmunk,Teafant,Jolthog
Lifmunk,Teafant,Jolthog Cryst
Lifmunk,Mau,Hoocrates
Lifmunk,Mau,Jelliette
Lifmunk,Mau,Depresso
Lifmunk,Mau,Jolthog
Lifmunk,Lamball,Foxparks
Lifmunk,Lamball,Jellroy
Lifmunk,Lamball,Hoocrates
Lifmunk,Lamball,Jelliette
Lifmunk,Lamball,Depresso
Lifmunk,Foxparks,Lamball
Lifmunk,Jellroy,Lamball
Lifmunk,Hoocrates,Lamball
Lifmunk,Jelliette,Lamball
Lifmunk,Depresso,Lamball
Lifmunk,Cattiva,Sparkit
Lifmunk,Cattiva,Flambelle
Lifmunk,Cattiva,Foxparks
Lifmunk,Cattiva,Jellroy
Lifmunk,Cattiva,Hoocrates
Lifmunk,Sparkit,Cattiva
Lifmunk,Flambelle,Cattiva
Lifmunk,Foxparks,Cattiva
Lifmunk,Jellroy,Cattiva
Lifmunk,Hoocrates,Cattiva
Lifmunk,Cremis,Sparkit
Lifmunk,Cremis,Flambelle
Lifmunk,Cremis,Foxparks
Lifmunk,Cremis,Jellroy
Lifmunk,Vixy,Hangyu Cryst
Lifmunk,Vixy,Hangyu
Lifmunk,Vixy,Sparkit
Lifmunk,Vixy,Flambelle
Lifmunk,Vixy,Foxparks
Lifmunk,Herbil,Hangyu Cryst
Lifmunk,Herbil,Hangyu
Lifmunk,Herbil,Sparkit
Lifmunk,Herbil,Flambelle
Lifmunk,Mau Cryst,Lifmunk
Lifmunk,Mau Cryst,Hangyu Cryst
Lifmunk,Mau Cryst,Hangyu
Lifmunk,Mau Cryst,Sparkit
Lifmunk,Lifmunk,Lifmunk
Lifmunk,Lifmunk,Hangyu Cryst
Lifmunk,Lifmunk,Hangyu
Foxparks,Chikipi,Swee
Foxparks,Chikipi,Finsider
Foxparks,Teafant,Pengullet Lux
Foxparks,Teafant,Ribbuny
Foxparks,Teafant,Foxparks Cryst
Foxparks,Mau,Bristla
Foxparks,Lamball,Fuack
Foxparks,Fuack,Lamball
Foxparks,Cattiva,Tocotoco
Foxparks,Cattiva,Munchill
Foxparks,Tocotoco,Cattiva
Foxparks,Munchill,Cattiva
Foxparks,Cremis,Tocotoco
Foxparks,Vixy,Pengullet
Foxparks,Herbil,Pengullet
Foxparks,Mau Cryst,Jolthog Cryst
Foxparks,Lifmunk,Jolthog
Foxparks,Hangyu Cryst,Depresso
Foxparks,Hangyu,Depresso
Foxparks,Sparkit,Hoocrates
Foxparks,Sparkit,Jelliette
Foxparks,Flambelle,Jellroy
Foxparks,Flambelle,Hoocrates
Foxparks,Foxparks,Foxparks
Foxparks,Foxparks,Jellroy
5B Foxparks Cryst,Foxparks,Foxcicle
5B Foxparks Cryst,Foxparks Cryst,Foxparks Cryst
Fuack,Chikipi,Wixen
Fuack,Chikipi,Rooby
Fuack,Mau,Nox
Fuack,Lamball,Woolipop
Fuack,Woolipop,Lamball
Fuack,Cattiva,Mimog
Fuack,Cattiva,Gloopie
Fuack,Mimog,Cattiva
Fuack,Gloopie,Cattiva
Fuack,Cremis,Ribbuny Botan
Fuack,Cremis,Mimog
Fuack,Vixy,Dazzi
Fuack,Vixy,Ribbuny Botan
Fuack,Herbil,Dazzi
Fuack,Mau Cryst,Fuddler
Fuack,Lifmunk,Daedream
Fuack,Hangyu Cryst,Gumoss
Fuack,Hangyu Cryst,Daedream
Fuack,Hangyu,Gumoss
Fuack,Sparkit,Killamari Primo
Fuack,Sparkit,Tanzee
Fuack,Sparkit,Smokie
Fuack,Flambelle,Finsider Ignis
Fuack,Flambelle,Killamari Primo
Fuack,Flambelle,Tanzee
Fuack,Foxparks,Kelpsea
Fuack,Foxparks,Finsider Ignis
Fuack,Jellroy,Kelpsea
Fuack,Hoocrates,Kelpsea Ignis
Fuack,Jelliette,Kelpsea Ignis
Fuack,Depresso,Flopie
Fuack,Jolthog,Fuack Ignis
Fuack,Jolthog,Killamari
Fuack,Jolthog Cryst,Swee
Fuack,Jolthog Cryst,Finsider
Fuack,Pengullet,Pengullet Lux
Fuack,Pengullet,Ribbuny
Fuack,Pengullet,Foxparks Cryst
Fuack,Tocotoco,Bristla
Fuack,Munchill,Bristla
Fuack,Fuack,Fuack
6B BluePlatypus_Fire,Flambelle,Fuack
6B BluePlatypus_Fire,Fuack Ignis,Fuack Ignis
Sparkit,Chikipi,Bristla
Sparkit,Teafant,Munchill
Sparkit,Teafant,Fuack
Sparkit,Mau,Tocotoco
Sparkit,Mau,Munchill
Sparkit,Lamball,Pengullet
Sparkit,Pengullet,Lamball
Sparkit,Cattiva,Jolthog Cryst
Sparkit,Jolthog Cryst,Cattiva
Sparkit,Cremis,Jolthog
Sparkit,Cremis,Jolthog Cryst
Sparkit,Vixy,Jolthog
Sparkit,Herbil,Depresso
Sparkit,Herbil,Jolthog
Sparkit,Mau Cryst,Jelliette
Sparkit,Mau Cryst,Depresso
Sparkit,Lifmunk,Jellroy
Sparkit,Lifmunk,Hoocrates
Sparkit,Lifmunk,Jelliette
Sparkit,Hangyu Cryst,Flambelle
Sparkit,Hangyu Cryst,Foxparks
Sparkit,Hangyu Cryst,Jellroy
Sparkit,Hangyu,Flambelle
Sparkit,Hangyu,Foxparks
Sparkit,Hangyu,Jellroy
Sparkit,Sparkit,Sparkit
Sparkit,Sparkit,Flambelle
Tanzee,Chikipi,Robinquill Terra
Tanzee,Teafant,Felbat
Tanzee,Mau,Robinquill
Tanzee,Lamball,Galeclaw
Tanzee,Lamball,Gorirat Terra
Tanzee,Galeclaw,Lamball
Tanzee,Gorirat Terra,Lamball
Tanzee,Cattiva,Gorirat
Tanzee,Gorirat,Cattiva
Tanzee,Cremis,Vaelet
Tanzee,Cremis,Gorirat
Tanzee,Vixy,Vaelet
Tanzee,Herbil,Direhowl
Tanzee,Herbil,Vaelet
Tanzee,Mau Cryst,Turtacle Terra
Tanzee,Mau Cryst,Direhowl
Tanzee,Lifmunk,Beegarde
Tanzee,Lifmunk,Turtacle Terra
Tanzee,Hangyu Cryst,Cawgnito
