id,name_kor,pal_nick_kor,description_kor,elements,stats_size,stats_rarity,stats_health,stats_food,stats_attack,stats_defense,stats_meleeAttack,stats_workSpeed,stats_support,stats_captureRateCorrect,stats_maleProbability,stats_combiRank,stats_goldCoin,stats_egg,stats_code,movement_slowWalkSpeed,movement_walkSpeed,movement_runSpeed,movement_transportSpeed,movement_rideSprintSpeed,level60_health,level60_attack,level60_defense,partnerSkill_name,partnerSkill_describe,partnerSkill_needItem,partnerSkill_needItemTechLevel,partnerSkill_level,activeSkills,activeSkills_count,passiveSkills,passiveSkills_count,drops,drops_count,workSuitabilities,workSuitabilities_count,tribes,tribes_count,spawners,spawners_count
1,도로롱,#1,언덕길을 걷다 저 혼자 데굴데굴 구른다. 결국 눈이 핑핑 돌아 몸을 못 가눌 때 간단히 처치할 수 있는 먹이 사슬의 최하층이다.,무속성,XS,1,70,150,70,70,70,100,100,1.5,50,1470,1000,평범한 알,SheepBall,23,40,400,160,550,3100,441,391,복슬복슬 방패,발동하면 방패로 변하여 플레이어에게 장착된다.,,0,1,"데굴데굴 솜사탕(무속성, 35파워, 1초) | 공기 대포(무속성, 25파워, 2초)",2,,0,"양털(1–3, 100%) | 도로롱의 양고기(1, 100%)",2,수작업(LV.1) | 운반(LV.1) | 목장(LV.1),3,커다란 털 뭉치 도로롱 | 도로롱,2,"도로롱(Lv. 1–3, 1_1_plain_begginer) | 도로롱(Lv. 1–4, 1_2_plain_grass)",2
2,까부냥,#2,얼핏 보기엔 당당하지만 실은 대단한 겁쟁이다. 까부냥이(가) 핥아준다는 건 어떤 의미에선 최고의 굴욕이다.,무속성,XS,1,70,150,70,70,70,100,100,1.5,50,1460,1000,평범한 알,PinkCat,30,60,400,160,550,3100–3782,441–543,391–493,고양이 손 빌리기,보유하고 있는 동안 까부냥이(가) 짐을 대신 짊어져 플레이어의 소지 중량 제한이 증가한다.,,0,1,"냥냥 펀치(무속성, 40파워, 1초) | 공기 대포(무속성, 25파워, 2초) | 모래 돌풍(땅 속성, 40파워, 4초) | 파워 샷(무속성, 35파워, 4초) | 바람의 칼날(풀 속성, 30파워, 2초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 팰 폭발(무속성, 150파워, 55초)",7,겁쟁이,1,"빨간 열매(1, 100%)",1,수작업(LV.1) | 채집(LV.1) | 채굴(LV.1) | 운반(LV.1),4,잘난 척 대마왕 까부냥 | 까부냥,2,"까부냥(Lv. 1–3, 1_1_plain_begginer) | 까부냥(Lv. 3–5, 1_3_plain_kitsunbi) | 까부냥(Lv. 2–5, PvP_21_1_1) | 까부냥(Lv. 2–5, PvP_21_2_1) | 잘난 척 대마왕 까부냥(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴)",5
3,꼬꼬닭,#3,너무나 약하고 또 너무나 맛있다. 도로롱과 함께 최약체를 담당한다. 많이 잡았다 싶으면 또 어디선가 튀어나온다.,무속성,,,60,,60,60,,,,,,,,,,,,,,,,,,알 생산,,,,,,7,,,,,채집(LV.1) | 목장(LV.1),2,,,,
4,큐룰리스,#4,5~7세 정도의 지능이 있다. 파트너용이지만 무기 쓰는 법을 배운 개체가 주인을 살해한 기록도 일부 존재한다.,풀 속성,,,75,,70,70,,,,,,,,,,,,,,,,,,큐룰리스 리코일,,,,,,7,,,,,파종(LV.1) | 수작업(LV.1) | 채집(LV.1) | 벌목(LV.1) | 제약(LV.1),5,,,,
5,파이호,#5,태어난 직후엔 불을 잘 못 다뤄서 걸핏하면 불을 뿜다가 숨이 탁 막힌다. 파이호의 재채기는 산림 화재의 원인이 된다.,화염 속성,,,65,,75,70,,,,,,,,,,,,,,,,,,포옹 파이어,,,,,,7,,,,,불 피우기(LV.1),1,,,,
6,청부리,#6,자신이 탄생한 물에선 어디든지 물결을 일으킨다. 급할 때는 몸으로 물살을 타고 이동한다. 기운이 넘쳐 종종 벽에 부딪혀 죽는다.,물 속성,,,60,,80,60,,,,,,,,,,,,,,,,,,서핑 태클,,,,,,7,,,,,관개(LV.1) | 수작업(LV.1) | 운반(LV.1),3,,,,
7,번개냥,#7,건기엔 신경질적이어서 항상 까칠하다. 같은 무리끼리의 사소한 충돌도 우당탕탕 큰 싸움으로 번진다.,번개 속성,,,60,,75,70,,,,,,,,,,,,,,,,,,정전기,,,,,,7,,,,,발전(LV.1) | 수작업(LV.1) | 운반(LV.1),3,,,,
8,몽지,#8,예전엔 나뭇가지처럼 가늘고 긴 물건을 무기로 삼았다. 인간과 엮이며 그런 무기는 쓰지 않게 됐다. 대신 가늘고 길며 더 효율적인 총기를 찾았다.,풀 속성,,,80,,70,70,,,,,,,,,,,,,,,,,,신난 소총,,,,,,7,,,,,파종(LV.1) | 수작업(LV.1) | 채집(LV.1) | 벌목(LV.1) | 운반(LV.1),5,,,,
9,불꽃밤비,#9,야생 불꽃밤비는 놀라울 정도로 건강을 잘 지킨다. 하루에 하나씩 가지를 태워 만든 숯을 먹는 것이 영원한 건강의 비결이라고 한다.,화염 속성,,,75,,70,75,,,,,,,,,,,,,,,,,,작은 불씨,,,,,,7,,,,,불 피우기(LV.1),1,,,,
10,펭키,#10,날개가 완전히 퇴화해 날 수 없다. 대신 유전자에 새겨진 하늘을 향한 미련이 있어 어떻게든 다시 날아오르려고 한다.,물 속성|얼음 속성,,,70,,75,70,,,,,,,,,,,,,,,,,,펭키 발사기,,,,,,7,,,,,관개(LV.1) | 수작업(LV.1) | 냉각(LV.1) | 운반(LV.1),4,,,,
