id,name_kor,description_kor,elements,partnerSkill_name,partnerSkill_describe,partnerSkill_needItem,partnerSkill_needItemTechLevel,partnerSkill_level,stats_size,stats_rarity,stats_health,stats_food,stats_meleeAttack,stats_attack,stats_defense,stats_workSpeed,stats_support,stats_captureRateCorrect,stats_maleProbability,stats_combiRank,stats_goldCoin,stats_egg,stats_code,movement_slowWalkSpeed,movement_walkSpeed,movement_runSpeed,movement_rideSprintSpeed,movement_transportSpeed,level60_health,level60_attack,level60_defense,activeSkills,activeSkills_count,passiveSkills,passiveSkills_count,drops,drops_count,workSuitabilities,workSuitabilities_count,tribes,tribes_count,spawners,spawners_count
1,도로롱,언덕길을 걷다 저 혼자 데굴데굴 구른다. 결국 눈이 핑핑 돌아 몸을 못 가눌 때 간단히 처치할 수 있는 먹이 사슬의 최하층이다.,무속성,복슬복슬 방패,발동하면 방패로 변하여 플레이어에게 장착된다.,,0.0,1.0,XS,1.0,70.0,150.0,70.0,70.0,70.0,100.0,100.0,1.5,50.0,1470.0,1000.0,평범한 알,SheepBall,23.0,40.0,400.0,550.0,160.0,3100,441,391,"데굴데굴 솜사탕(무속성, 35파워, 1초) | 공기 대포(무속성, 25파워, 2초)",2.0,,0.0,"양털(1–3, 100%) | 도로롱의 양고기(1, 100%)",2,수작업(LV.1) | 운반(LV.1) | 목장(LV.1),3.0,커다란 털 뭉치 도로롱 | 도로롱,2.0,"도로롱(Lv. 1–3, 1_1_plain_begginer) | 도로롱(Lv. 1–4, 1_2_plain_grass)",2.0
2,까부냥,얼핏 보기엔 당당하지만 실은 대단한 겁쟁이다. 까부냥이(가) 핥아준다는 건 어떤 의미에선 최고의 굴욕이다.,무속성,고양이 손 빌리기,보유하고 있는 동안 까부냥이(가) 짐을 대신 짊어져 플레이어의 소지 중량 제한이 증가한다.,,0.0,1.0,XS,1.0,70.0,150.0,70.0,70.0,70.0,100.0,100.0,1.5,50.0,1460.0,1000.0,평범한 알,PinkCat,30.0,60.0,400.0,550.0,160.0,3100–3782,441–543,391–493,"냥냥 펀치(무속성, 40파워, 1초) | 공기 대포(무속성, 25파워, 2초) | 모래 돌풍(땅 속성, 40파워, 4초) | 파워 샷(무속성, 35파워, 4초) | 바람의 칼날(풀 속성, 30파워, 2초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 팰 폭발(무속성, 150파워, 55초)",7.0,겁쟁이,1.0,"빨간 열매(1, 100%)",1,수작업(LV.1) | 채집(LV.1) | 채굴(LV.1) | 운반(LV.1),4.0,잘난 척 대마왕 까부냥 | 까부냥,2.0,"까부냥(Lv. 1–3, 1_1_plain_begginer) | 까부냥(Lv. 3–5, 1_3_plain_kitsunbi) | 까부냥(Lv. 2–5, PvP_21_1_1) | 까부냥(Lv. 2–5, PvP_21_2_1) | 잘난 척 대마왕 까부냥(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴)",5.0
3,꼬꼬닭,너무나 약하고 또 너무나 맛있다. 도로롱과 함께 최약체를 담당한다. 많이 잡았다 싶으면 또 어디선가 튀어나온다.,무속성,알 생산,가축 목장에 배치하면 가끔씩 알을(를) 낳기도 한다.,,0.0,1.0,XS,1.0,60.0,100.0,70.0,60.0,60.0,100.0,70.0,1.5,50.0,1500.0,1000.0,평범한 알,ChickenPal,50.0,50.0,375.0,550.0,212.0,2775 – 3360,392 – 480,342 – 430,"치킨 태클(무속성, 30파워, 1초)",1.0,,0.0,"알(1, 100%) | 꼬꼬닭의 닭고기(1, 100%)",2,채집(LV.1) | 목장(LV.1),2.0,퉁퉁한 몸집의 꼬꼬닭 | 꼬꼬닭,2.0,"꼬꼬닭(Lv. 1–3, 1_1_plain_begginer) | 꼬꼬닭(Lv. 3–5, 1_3_plain_kitsunbi)",2.0
4,큐룰리스,5~7세 정도의 지능이 있다. 파트너용이지만 무기 쓰는 법을 배운 개체가 주인을 살해한 기록도 일부 존재한다.,풀 속성,큐룰리스 리코일,발동하면 플레이어의 머리 위에 올라 공격에 맞춰 기관단총으로 추격한다.,기술11,11.0,1.0,XS,1.0,75.0,100.0,70.0,70.0,70.0,100.0,100.0,0.9,50.0,1430.0,1010.0,신록의 알,Carbunclo,20.0,40.0,400.0,550.0,250.0,3262 – 3993,441 – 543,391 – 493,"바람의 칼날(풀 속성, 30파워, 2초) | 공기 대포(무속성, 25파워, 2초) | 파워 샷(무속성, 35파워, 4초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 파워 폭탄(무속성, 70파워, 15초) | 가시덩굴(풀 속성, 95파워, 25초) | 태양 폭발(풀 속성, 150파워, 55초)",7.0,,0.0,"열매 씨(1, 100%) | 하급 의약품(1, 20%)",2,파종(LV.1) | 수작업(LV.1) | 채집(LV.1) | 벌목(LV.1) | 제약(LV.1),5.0,초원의 제일가는 겁쟁이 큐룰리스 | 큐룰리스,2.0,"큐룰리스(Lv. 3–5, 1_2_plain_grass) | 큐룰리스(Lv. 3–6, 1_4_plain_fox) | 큐룰리스(Lv. 7–11, 1_6_plain_Kirin) | 큐룰리스(Lv. 2–5, PvP_21_1_1) | 초원의 제일가는 겁쟁이 큐룰리스(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴) | 큐룰리스(Lv. 6–9, 구릉 동굴, 외딴 섬의 동굴)",6.0
5,파이호,태어난 직후엔 불을 잘 못 다뤄서 걸핏하면 불을 뿜다가 숨이 탁 막힌다. 파이호의 재채기는 산림 화재의 원인이 된다.,화염 속성,포옹 파이어,발동하면 화염방사기로 변하여 플레이어에게 장착된다.,기술6,6.0,1.0,XS,1.0,65.0,150.0,70.0,75.0,70.0,100.0,100.0,1.1,50.0,1400.0,1040.0,열기 나는 알,Kitsunebi,40.0,80.0,400.0,550.0,240.0,2937 – 3571,465 – 575,391 – 493,"파이어 샷(화염 속성, 30파워, 2초) | 모래 돌풍(땅 속성, 40파워, 4초) | 스피릿 파이어(화염 속성, 45파워, 7초) | 불화살(화염 속성, 55파워, 10초) | 파이어 브레스(화염 속성, 70파워, 15초) | 유령의 불꽃(어둠 속성, 75파워, 16초) | 화염구(화염 속성, 150파워, 55초)",7.0,,0.0,"가죽(1, 100%) | 발화 기관(1–2, 100%)",2,불 피우기(LV.1),1.0,여로를 비추는 등불 파이호 | 파이호,2.0,"파이호(Lv. 3–6, 1_3_plain_kitsunbi) | 파이호(Lv. 2–5, PvP_21_2_1) | 여로를 비추는 등불 파이호(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴) | 파이호(Lv. 6–9, 구릉 동굴, 외딴 섬의 동굴) | 파이호(Lv. 9–11, 3_4_volcano_1)",5.0
5B,아이호,태어난 직후엔 냉기를 잘 못 다뤄서 걸핏하면 냉기를 뿜다가 숨이 탁 막힌다. 감기에 걸리면 콧물이 어는 바람에 숨이 가빠진다.,얼음 속성,포옹 프로스트,발동하면 플레이어에게 장착되어 냉기를 방출해 공격할 수 있다.,기술24,24.0,1.0,XS,1.0,65.0,150.0,70.0,80.0,70.0,100.0,100.0,1.1,50.0,1305.0,1410.0,얼어붙은 알,Kitsunebi_Ice,40.0,80.0,400.0,550.0,240.0,2937 – 3571,490 – 607,391 – 493,Lv1 얼음 미사일 (위력:30) | Lv15 얼음 칼날 (위력:55),2.0,,0.0,가죽 x1–2 (100%) | 빙결 기관 x1–3 (100%),2,냉각 LV.1,1.0,여로를 수놓는 얼음꽃 아이호 (Tribe Boss) | 아이호 (Tribe Normal),2.0,Lv52–55 yamijima_7_2_DarkArea,1.0
6,청부리,자신이 탄생한 물에선 어디든지 물결을 일으킨다. 급할 때는 몸으로 물살을 타고 이동한다. 기운이 넘쳐 종종 벽에 부딪혀 죽는다.,물 속성,서핑 태클,발동하면 청부리이(가) 적을 향해 보디 서핑을 하며 달려든다.,,0.0,1.0,XS,1.0,60.0,150.0,80.0,80.0,60.0,100.0,100.0,1.1,50.0,1330.0,1120.0,축축한 알,BluePlatypus,70.0,105.0,300.0,400.0,202.0,2775 – 3360,490 – 607,342 – 430,"아쿠아 샷(물 속성, 40파워, 4초) | 파워 샷(무속성, 35파워, 4초) | 워터 제트(물 속성, 30파워, 2초) | 얼음 미사일(얼음 속성, 30파워, 3초) | 버블 샷(물 속성, 65파워, 13초) | 물폭탄(물 속성, 100파워, 30초) | 하이드로 스트림(물 속성, 150파워, 55초)",7.0,,0.0,"가죽(1, 100%) | 팰의 체액(1, 100%)",2,관개(LV.1) | 수작업(LV.1) | 운반(LV.1),3.0,장난기 많은 파도 타는 승려 청부리 | 청부리,2.0,"청부리(Lv. 3–6, 1_4_plain_fox) | 청부리(Lv. 10–13, 1_9_plain_SweetsSheep) | 청부리(Lv. 2–5, PvP_21_1_1) | 장난기 많은 파도 타는 승려 청부리(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴) | 청부리(Lv. 6–9, 구릉 동굴, 외딴 섬의 동굴)",5.0
6B,적부리,배의 마찰력이 아주 강한 탓에 보디 서핑을 하면 불이 붙을 정도다. 너무 신나게 미끄러지다 간혹 불덩이가 되기도 한다.,물 속성|화염 속성,파이어 태클,발동하면 적부리이(가) 적을 향해 파이어 서핑을 하며 달려든다.,,0.0,1.0,XS,2.0,60.0,150.0,100.0,85.0,60.0,100.0,100.0,1.1,50.0,1290.0,1340.0,축축한 알,BluePlatypus_Fire,70.0,105.0,300.0,400.0,202.0,2775 – 3360,514 – 638,342 – 430,Lv1 파이어 샷 (위력:30) | Lv15 버블 샷 (위력:65),2.0,,0.0,가죽 x1 (100%) | 팰의 체액 x1 (100%) | 발화 기관 x1–2 (50%),3,불 피우기 LV.1 | 관개 LV.1 | 수작업 LV.1 | 운반 LV.1,4.0,폭주 중인 파도 타는 꼬맹이 적부리 (Tribe Boss) | 적부리 (Tribe Normal),2.0,Lv16–27 커다란 낚시터 Medium 8.72%,1.0
7,번개냥,건기엔 신경질적이어서 항상 까칠하다. 같은 무리끼리의 사소한 충돌도 우당탕탕 큰 싸움으로 번진다.,번개 속성,정전기,보유하고 있는 동안 번개 속성 팰의 공격력이 증가한다.,,0.0,1.0,XS,1.0,60.0,150.0,60.0,75.0,70.0,100.0,80.0,1.1,50.0,1410.0,1030.0,찌릿찌릿한 알,ElecCat,40.0,80.0,350.0,500.0,270.0,2775 – 3360,465 – 575,391 – 493,"스파크 샷(번개 속성, 30파워, 2초) | 모래 돌풍(땅 속성, 40파워, 4초) | 전기 파장(번개 속성, 40파워, 4초) | 번개 구체(번개 속성, 50파워, 9초) | 트라이 썬더(번개 속성, 90파워, 22초) | 라인 썬더(번개 속성, 75파워, 16초) | 전기 볼트(번개 속성, 150파워, 55초)",7.0,,0.0,"발전 기관(1–2, 100%)",1,발전(LV.1) | 수작업(LV.1) | 운반(LV.1),3.0,장난기 많은 얼룩 고양이 번개냥 | 번개냥,2.0,"번개냥(Lv. 3–6, 1_4_plain_fox) | 번개냥(Lv. 14–17, 1_8_plain_dessert)",2.0
8,몽지,예전엔 나뭇가지처럼 가늘고 긴 물건을 무기로 삼았다. 인간과 엮이며 그런 무기는 쓰지 않게 됐다. 대신 가늘고 길며 더 효율적인 '총기'를 찾았다.,풀 속성,신난 소총,발동하면 일정 시간 몽지이(가) 근처 적에게 돌격 소총을 난사한다.,기술12,12.0,1.0,XS,1.0,80.0,150.0,100.0,70.0,70.0,100.0,100.0,1.1,50.0,1250.0,1280.0,신록의 알,Monkey,48.0,48.0,300.0,400.0,174.0,3425 – 4205,441 – 543,391 – 493,"바람의 칼날(풀 속성, 30파워, 2초) | 모래 돌풍(땅 속성, 40파워, 4초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 씨앗 지뢰(풀 속성, 65파워, 13초) | 바위 대포(땅 속성, 70파워, 15초) | 초록 폭풍(풀 속성, 80파워, 18초) | 태양 폭발(풀 속성, 150파워, 55초)",7.0,,0.0,"버섯(1, 100%)",1,파종(LV.1) | 수작업(LV.1) | 채집(LV.1) | 벌목(LV.1) | 운반(LV.1),5.0,금손을 가진 몽지 | 몽지,2.0,"몽지(Lv. 3–5, 1_2_plain_grass) | 몽지(Lv. 3–6, 1_5_plain_pachiguri) | 몽지(Lv. 2–5, PvP_21_2_1) | 금손을 가진 몽지(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴) | 몽지(Lv. 6–9, 구릉 동굴, 외딴 섬의 동굴)",5.0
