id,name,englishName,description,type1,type2,hp,attack,defense,rarity,size,foodAmount,partnerSkill,work1,work2,work3,activeSkills,dropItem1,dropItem2,eggType,imageFile
1,도로롱,SheepBall,언덕길을 걷다 저 혼자 데굴데굴 구른다. 결국 눈이 핑핑 돌아 몸을 못 가눌 때 간단히 처치할 수 있는 먹이 사슬의 최하층이다.,무속성,,70,150,70,1,XS,2,복슬복슬 방패,,,,,평범한 알,양털   도로롱의 양고기,평범한 알,1_menu.webp
2,까부냥,PinkCat,얼핏 보기엔 당당하지만 실은 대단한 겁쟁이다. 까부냥이(가) 핥아준다는 건 어떤 의미에선 최고의 굴욕이다.,무속성,풀,70,150,70,2,XS,1,수작업(LV.1) | 채집(LV.1) | 채굴(LV.1) | 운반(LV.1),,,,,평범한 알,빨간 열매,평범한 알,2_menu.webp
3,꼬꼬닭,ChickenPal,너무나 약하고 또 너무나 맛있다. 도로롱과 함께 최약체를 담당한다. 많이 잡았다 싶으면 또 어디선가 튀어나온다.,무속성,,60,100,70,3,XS,1,알 생산,,,,,알 생산,가축 목장에 배치하면 가끔씩 알을를 낳기도 한다.,알 생산,3_menu.webp
4,큐룰리스,Carbunclo,5~7세 정도의 지능이 있다. 파트너용이지만 무기 쓰는 법을 배운 개체가 주인을 살해한 기록도 일부 존재한다.,무속성,풀,75,100,70,4,XS,1,큐룰리스 리코일,,,,,신록의 알,열매 씨   하급 의약품,신록의 알,4_menu.webp
5,파이호,Kitsunebi,태어난 직후엔 불을 잘 못 다뤄서 걸핏하면 불을 뿜다가 숨이 탁 막힌다. 파이호의 재채기는 산림 화재의 원인이 된다.,화염,땅,65,150,70,5,XS,6,,,,,,열기 나는 알,가죽   발화 기관,열기 나는 알,5_menu.webp
5B,아이호,Kitsunebi_Ice,태어난 직후엔 냉기를 잘 못 다뤄서 걸핏하면 냉기를 뿜다가 숨이 탁 막힌다. 감기에 걸리면 콧물이 어는 바람에 숨이 가빠진다.,물,얼음,65,150,70,1,XS,2,,,,,,얼어붙은 알,가죽 x   빙결 기관 x,얼어붙은 알,5B_menu.webp
6,청부리,BluePlatypus,자신이 탄생한 물에선 어디든지 물결을 일으킨다. 급할 때는 몸으로 물살을 타고 이동한다. 기운이 넘쳐 종종 벽에 부딪혀 죽는다.,무속성,물,60,150,80,6,XS,1,관개(LV.1) | 수작업(LV.1) | 운반(LV.1),,,,,축축한 알,가죽   팰의 체액,축축한 알,6_menu.webp
6B,적부리,BluePlatypus_Fire,배의 마찰력이 아주 강한 탓에 보디 서핑을 하면 불이 붙을 정도다. 너무 신나게 미끄러지다 간혹 불덩이가 되기도 한다.,화염,물,60,150,100,2,XS,3,불 피우기 LV.1 | 관개 LV.1 | 수작업 LV.1 | 운반 LV.1,,,,,축축한 알,가죽 x   팰의 체액 x   발화 기관 x,축축한 알,6B_menu.webp
7,번개냥,ElecCat,건기엔 신경질적이어서 항상 까칠하다. 같은 무리끼리의 사소한 충돌도 우당탕탕 큰 싸움으로 번진다.,번개,땅,60,150,60,7,XS,1,발전(LV.1) | 수작업(LV.1) | 운반(LV.1),,,,,찌릿찌릿한 알,발전 기관,찌릿찌릿한 알,7_menu.webp
8,몽지,,예전엔 나뭇가지처럼 가늘고 긴 물건을 무기로 삼았다. 인간과 엮이며 그런 무기는 쓰지 않게 됐다. 대신 가늘고 길며 더 효율적인 '총기'를 찾았다.,물,풀,80,150,100,8,XS,1,,,,,,신록의 알,,신록의 알,8_menu.webp
9,불꽃밤비,FlameBambi,야생 불꽃밤비은(는) 놀라울 정도로 건강을 잘 지킨다. 하루에 하나씩 가지를 태워 만든 숯을 먹는 것이 영원한 건강의 비결이라고 한다.,무속성,화염,75,100,70,9,S,2,,,,,,열기 나는 알,발화 기관   가죽,열기 나는 알,9_menu.webp
10,펭키,Penguin,날개가 완전히 퇴화해 날 수 없다. 대신 유전자에 새겨진 하늘을 향한 미련이 있어 어떻게든 다시 날아오르려고 한다.,물,얼음,70,150,70,10,XS,1,관개(LV.1) | 수작업(LV.1) | 냉각(LV.1) | 운반(LV.1),,,,,축축한 알,빙결 기관   팰의 체액,축축한 알,10_menu.webp
10B,뎅키,Penguin_Electric,날개가 완전히 퇴화해 날 수 없다. 하늘을 향한 미련은 어느덧 질투로 변화하여 하늘을 나는 모든 것을 격추할 전기의 힘을 얻게 되었다!,물,번개,39,70,150,2,XS,4,관개 LV.1 | 발전 LV.2 | 수작업 LV.1 | 운반 LV.1,,,,,축축한 알,발전 기관 x   팰의 체액 x,축축한 알,10B_menu.webp
11,펭킹,CaptainPenguin,사실 펭키와 아무 연관도 없는 종. 멋대로 상전 대접을 받은 터라 일단 열심히 뻗대고 보고 있다.,화염,물,95,70,95,11,L,6,,,,,,축축한 대형 알,빙결 기관-   펭킹 날개 장식,축축한 대형 알,11_menu.webp
11B,펭키드,CaptainPenguin_Black,수중 사냥에 도움이 되도록 전기의 힘을 얻어 색이 변화했으며 그 결과 펭키의 충성을 잃고 말았다. 그러나 어째서인지는 몰라도 이번에는 뎅키의 충성을 얻게 되었다.,물,번개,100,100,100,7,L,2,,,,,,축축한 대형 알,발전 기관-   펭킹 날개 장식,축축한 대형 알,11B_menu.webp
12,찌릿도치,Hedgehog,"""충격을 받으면 모았던 전기를 방출한다. 그 전압은 1,000만 볼트가 넘는다. 던지면 어설픈 중화기보다 더 위험하다.""",무속성,번개,70,150,70,12,XS,8,,,,,,찌릿찌릿한 알,발전 기관,찌릿찌릿한 알,12_menu.webp
12B,코치도치,Hedgehog_Ice,충격을 받으면 모았던 냉기를 방출한다. 방사상에 퍼진 냉기는 대기를 꽁꽁 얼려 습격해온 상대의 몸을 꿰뚫는다.,무속성,얼음,70,150,70,11,XS,2,,,,,,얼어붙은 알,빙결 기관,얼어붙은 알,12B_menu.webp
13,초롱이,PlantSlime,수액 같은 몸을 가진 신기한 팰. 뒤집어쓸 게 없으면 서서히 말라가다가 결국 썩어서 없어진다.,풀,땅,70,100,100,13,XS,1,,,,,,신록의 알,열매 씨   초롱이 잎사귀,신록의 알,13_menu.webp
13B,초롱이,PlantSlime_Flower,수액 같은 몸을 가진 신기한 팰. 뒤집어쓸 게 없으면 서서히 말라가다가 결국 썩어서 없어진다.,풀,땅,70,100,100,10,XS,7,,,,,,신록의 거대한 알,열매 씨   예쁜 꽃   초롱이 잎사귀,신록의 거대한 알,13B_menu.webp
14,미호,CuteFox,팰파고스섬의 아이돌. 미호를 괴롭히면 전 세계가 적으로 돌변한다.,무속성,풀,70,100,70,14,XS,2,채집(LV.1) | 목장(LV.1),,,,,평범한 알,가죽   뼈,평범한 알,14_menu.webp
15,아테노울,WizardOwl,"""근심에 잠기는 경우가 많아 머릿속이 복잡해 잠을 잘 자지 못한다. '나는 생각한다, 고로 존재한다'""",무속성,화염,70,70,70,15,XS,1,채집(LV.1),,,,,암흑의 알,,암흑의 알,15_menu.webp
16,차코리,Ganesha,코로 추정되는 기관에서 대량의 물이 나오는데 그냥 콧물이라는 지적도 있다. 연구자들 사이에 열띤 토론이 한창이다.,물,땅,70,150,70,16,M,1,,,,,,축축한 알,,축축한 알,16_menu.webp
17,뚱코알라,NegativeKoala,눈빛이 안 좋아 친구는 적지만 마음은 따뜻하다. 무리와 떨어진 미호에게 먹이를 나눠주는 모습이 목격되고 있다.,얼음,땅,70,150,70,17,XS,1,수작업(LV.1) | 채굴(LV.1) | 운반(LV.1),,,,,뚱코알라,암흑의 알,뚱코알라,17_menu.webp
18,밀피,WoolFox,도로롱보다 털의 품질이 좋고 도로롱보다 가축으로 삼기 좋은 성격이다. 하지만 역사적으로는 항상 애완용 팰로 사육되어 왔다. 역시 귀여운 게 최고다.,무속성,번개,70,150,100,18,XS,1,채집(LV.1) | 목장(LV.1),,,,,푹신푹신 양털,평범한 알,평범한 알,18_menu.webp
19,몽마둥이,DreamDemon,마음에 드는 상대를 깊은 잠에 빠뜨려 행복한 꿈을 꾸게 해준다. 죽을 때까지 잠에서 깰 일은 절대 없다.,화염,얼음,70,100,75,19,XS,8,수작업(LV.1) | 채집(LV.1) | 운반(LV.1),,,,,암흑의 알,,암흑의 알,19_menu.webp
