pal_index,pal_name,pal_description,is_boss,is_tower_boss,element_1,element_2,item_drop_1,item_drop_2,partner_skill_title,partner_skill_description,work_suitability,stats_hp,stats_melee_attack,stats_shot_attack,stats_defense,stats_support,stats_stamina,stats_walk_speed,stats_run_speed,stats_ride_sprint_speed,stats_food_amount,stats_rarity,stats_price,male_probability,combi_rank,active_skills
-2,PAL Genetic Research Unit Commander Victor & Shadowbeak,Missing...,True,True,Dark,,,,Can be ridden as an flying mount. Enhances Dark attacks while mounted.,Can be ridden as an flying mount. Enhances Dark attacks while mounted.,Collection(Lv.1),8000,130,200,220,90,100,80,850,1100,8,10,9060,100,9999,Divine Disaster (Lv.1 | Pwr.160 | CD.45s) | Dark Whisp (Lv.2 | Pwr.160 | CD.45s) | Spirit Flame (Lv.3 | Pwr.75 | CD.16s) | Nightmare Ball (Lv.4 | Pwr.100 | CD.30s) | Blizzard Spike (Lv.5 | Pwr.130 | CD.45s) | Iceberg (Lv.6 | Pwr.70 | CD.15s) | Dark Laser (Lv.7 | Pwr.150 | CD.55s) | Cryst Breath (Lv.8 | Pwr.90 | CD.22s) | Pal Blast (Lv.9 | Pwr.150 | CD.55s) | Ice Missile (Lv.10 | Pwr.30 | CD.3s) | Icicle Cutter (Lv.11 | Pwr.55 | CD.10s)
-2,Rayne Syndicate Officer Zoe & Grizzbolt,Missing...,True,True,Electric,,,,Can be ridden. Can rapidly fire a minigun while mounted.,Can be ridden. Can rapidly fire a minigun while mounted.,"Generate Electricity(Lv.3), Handcraft(Lv.2), Deforest(Lv.2), Transport(Lv.3)",6000,100,100,100,100,100,140,470,650,6,8,6610,0,9999,Lightning Claw (Lv.1 | Pwr.90 | CD.22s) | Spark Blast (Lv.2 | Pwr.30 | CD.2s) | Shockwave (Lv.3 | Pwr.40 | CD.4s) | Electric Ball (Lv.4 | Pwr.50 | CD.9s) | Plasma Tornado (Lv.5 | Pwr.65 | CD.13s) | Lightning Streak (Lv.6 | Pwr.75 | CD.16s) | Lock-on Laser (Lv.7 | Pwr.70 | CD.15s)
-2,PIDF Officer Marcus & Faleris,Missing...,True,True,Fire,,,,"Can be ridden as an flying mount. While fighting together, Ice Pals drop more items when defeated.","Can be ridden as an flying mount. While fighting together, Ice Pals drop more items when defeated.","Emit Flame(Lv.3), Transport(Lv.3)",6500,100,120,125,90,100,200,1000,1300,8,9,6720,100,9999,Phoenix Flare (Lv.1 | Pwr.135 | CD.28s) | Flare Arrow (Lv.2 | Pwr.55 | CD.10s) | Rock Lance (Lv.3 | Pwr.150 | CD.55s) | Ignis Breath (Lv.4 | Pwr.70 | CD.15s) | Tri-Lightning (Lv.5 | Pwr.90 | CD.22s) | Ignis Rage (Lv.6 | Pwr.120 | CD.40s) | Fire Ball (Lv.7 | Pwr.150 | CD.55s) | Lightning Strike (Lv.8 | Pwr.120 | CD.40s) | Lightning Bolt (Lv.9 | Pwr.150 | CD.55s) | Spirit Fire (Lv.10 | Pwr.45 | CD.7s) | Ignis Blast (Lv.11 | Pwr.30 | CD.2s)
-2,Free Pal Alliance Founder Lily & Lyleen,Missing...,True,True,Grass,,,,"When activated, the queen's soothing graces greatly restore the player's HP.","When activated, the queen's soothing graces greatly restore the player's HP.","Seeding(Lv.3), Handcraft(Lv.2), Collection(Lv.2), Product Medicine(Lv.3)",5500,100,110,105,100,100,100,450,650,6,9,6510,0,9999,Poison Fog (Lv.1 | Pwr.0 | CD.30s) | Bubble Blast (Lv.2 | Pwr.65 | CD.13s) | Seed Mine (Lv.3 | Pwr.65 | CD.13s) | Aqua Burst (Lv.4 | Pwr.100 | CD.30s) | Multicutter (Lv.5 | Pwr.60 | CD.12s) | Grass Tornado (Lv.6 | Pwr.80 | CD.18s) | Spine Vine (Lv.7 | Pwr.95 | CD.25s)
-2,Brothers of the Eternal Pyre Soul Reader Axel & Orserk,Missing...,True,True,Dragon,Electric,,,"While fighting together, Water Pals drop more items when defeated.","While fighting together, Water Pals drop more items when defeated.","Generate Electricity(Lv.3), Handcraft(Lv.2), Transport(Lv.3)",6500,100,140,110,100,100,185,900,1300,7,9,8320,100,9999,Kerauno (Lv.1 | Pwr.100 | CD.30s) | Lightning Strike (Lv.2 | Pwr.120 | CD.40s) | Dragon Burst (Lv.3 | Pwr.55 | CD.10s) | Draconic Breath (Lv.4 | Pwr.70 | CD.15s) | Lightning Streak (Lv.5 | Pwr.75 | CD.16s) | Dragon Cannon (Lv.6 | Pwr.30 | CD.2s) | Lightning Bolt (Lv.7 | Pwr.150 | CD.55s) | Acid Rain (Lv.8 | Pwr.80 | CD.18s) | Dragon Meteor (Lv.9 | Pwr.150 | CD.55s)
-1,en_Text en_text,Missing...,True,False,Neutral,,,,Tentative text,Missing...,,100,100,100,100,100,100,-1,-1,-1,5,0,3660,50,0,
-1,Pal on the Prowl Lovander,Missing...,True,False,Neutral,,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'Mushroom'}","While fighting together, grants the player and Lovander the life steal effect which absorbs some of the received damage and restores HP.","While fighting together, grants the player and Lovander the life steal effect which absorbs some of the received damage and restores HP.","Handcraft(Lv.2), Mining(Lv.1), Product Medicine(Lv.2), Transport(Lv.2)",120,70,70,70,140,100,170,750,850,5,5,2450,30,940,Power Shot (Lv.1 | Pwr.35 | CD.4s) | Poison Blast (Lv.7 | Pwr.30 | CD.2s) | Shadow Burst (Lv.15 | Pwr.55 | CD.10s) | Acid Rain (Lv.22 | Pwr.80 | CD.18s) | Power Bomb (Lv.30 | Pwr.70 | CD.15s) | Implode (Lv.40 | Pwr.180 | CD.55s) | Pal Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Heart-melting Smile Ribbuny,Missing...,True,False,Neutral,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'Leather'}","While in team, increases attack power of Neutral Pals. While at a base, increases work efficiency if working at Weapon Workbench.","While in team, increases attack power of Neutral Pals. While at a base, increases work efficiency if working at Weapon Workbench.","Handcraft(Lv.1), Collection(Lv.1), Transport(Lv.1)",75,100,65,70,100,100,100,245,350,2,1,1160,50,1310,Air Cannon (Lv.1 | Pwr.25 | CD.2s) | Power Shot (Lv.7 | Pwr.35 | CD.4s) | Ice Missile (Lv.15 | Pwr.30 | CD.3s) | Blizzard Spike (Lv.22 | Pwr.130 | CD.45s) | Power Bomb (Lv.30 | Pwr.70 | CD.15s) | Iceberg (Lv.40 | Pwr.70 | CD.15s) | Pal Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Suddenly Transformed Gumoss,Missing...,True,False,Ground,Grass,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'BerrySeeds'}","While in team, improves efficiency of cutting trees.","While in team, improves efficiency of cutting trees.",Seeding(Lv.1),70,100,70,70,100,100,50,300,400,1,1,1310,50,1240,Sand Blast (Lv.1 | Pwr.40 | CD.4s) | Wind Cutter (Lv.7 | Pwr.30 | CD.2s) | Stone Blast (Lv.15 | Pwr.55 | CD.10s) | Seed Machine Gun (Lv.22 | Pwr.50 | CD.9s) | Seed Mine (Lv.30 | Pwr.65 | CD.13s) | Sand Tornado (Lv.40 | Pwr.80 | CD.18s) | Solar Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Suddenly Transformed Gumoss,Missing...,True,False,Ground,Grass,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'Poppy'}","While in team, improves efficiency of cutting trees.","While in team, improves efficiency of cutting trees.",Seeding(Lv.1),70,100,70,70,100,100,50,300,400,1,1,1310,50,1240,Sand Blast (Lv.1 | Pwr.40 | CD.4s) | Wind Cutter (Lv.7 | Pwr.30 | CD.2s) | Stone Blast (Lv.15 | Pwr.55 | CD.10s) | Seed Machine Gun (Lv.22 | Pwr.50 | CD.9s) | Seed Mine (Lv.30 | Pwr.65 | CD.13s) | Sand Tornado (Lv.40 | Pwr.80 | CD.18s) | Solar Blast (Lv.50 | Pwr.150 | CD.55s)
